配置,lam,kappa,margin,开发期(2-6月)/万元,冻结验证期(7-12月)/万元,全年描述值/万元,开发期选中,验证期排名,阶段
λ=0.7 κ=1.015 m=75,0.7,1.015,75.0,591.7,848.6,1440.3,True,2,粗筛κ×m
λ=0.7 κ=1.01 m=75,0.7,1.01,75.0,591.9,849.8,1441.7,False,5,粗筛κ×m
λ=0.7 κ=1.015 m=50,0.7,1.015,50.0,592.1,849.7,1441.8,False,4,粗筛κ×m
λ=0.7 κ=1.02 m=75,0.7,1.02,75.0,592.3,848.4,1440.7,False,1,粗筛κ×m
λ=0.7 κ=1.02 m=50,0.7,1.02,50.0,592.4,849.2,1441.6,False,3,粗筛κ×m
λ=0.7 κ=1.01 m=50,0.7,1.01,50.0,592.7,851.5,1444.2,False,8,粗筛κ×m
λ=0.7 κ=1.02 m=25,0.7,1.02,25.0,592.9,850.3,1443.2,False,6,粗筛κ×m
λ=0.7 κ=1.015 m=25,0.7,1.015,25.0,593.0,851.2,1444.2,False,7,粗筛κ×m
λ=0.7 κ=1.02 m=0,0.7,1.02,0.0,593.7,851.9,1445.6,False,9,粗筛κ×m
λ=0.7 κ=1.01 m=25,0.7,1.01,25.0,593.9,853.6,1447.5,False,11,粗筛κ×m
λ=0.7 κ=1.015 m=0,0.7,1.015,0.0,594.1,852.9,1447.0,False,10,粗筛κ×m
λ=0.7 κ=1.01 m=0,0.7,1.01,0.0,595.3,855.6,1450.9,False,12,粗筛κ×m
λ=0.7 κ=1 m=75,0.7,1.0,75.0,597.6,859.2,1456.8,False,13,粗筛κ×m
λ=0.7 κ=1 m=50,0.7,1.0,50.0,599.2,861.5,1460.7,False,14,粗筛κ×m
λ=0.7 κ=1 m=25,0.7,1.0,25.0,601.4,864.4,1465.7,False,15,粗筛κ×m
λ=0.7 κ=1 m=0,0.7,1.0,0.0,603.4,867.3,1470.8,False,16,粗筛κ×m
λ=0.7 κ=1.015 m=75,0.7,1.015,75.0,591.7,848.6,1440.3,True,3,细选λ
λ=0.5 κ=1.015 m=75,0.5,1.015,75.0,592.2,844.1,1436.3,False,2,细选λ
λ=0.3 κ=1.015 m=75,0.3,1.015,75.0,594.1,843.6,1437.6,False,1,细选λ
λ=0.9 κ=1.015 m=75,0.9,1.015,75.0,598.2,853.9,1452.1,False,4,细选λ
λ=1 κ=1.015 m=75,1.0,1.015,75.0,602.8,859.3,1462.0,False,5,细选λ
